djentelmen	джентельмен
gıaloklastıt	гиалокластит
absolút	абсолют
ılústrasıa	иллюстрация
ShİP	ШІП
bólshevıktendir	большевиктендір
fızıatrıa	физиатрия
radıoaparat	радиоаппарат
jıhanger	жиһангер
ıarsydy	иарсыды
sıntoızm	синтоизм
kommýnıkabeldilik	коммуникабельділік
álternatıv	альтернатива
sedent	цедент
telekomýnıkasıa	телекоммуникация
ateısik	атеистік
áleı-túleı	әлеи-түлей
navıgasıalyq	навигациялық
marketıńini	маркетингіні
pıanısti	пианисті
achyǵan	ачыған
emosıaly	эмоциялы
emblema	эмблема
kúnchesine	күнчесіне
aglútınatıvtik	агглютинативтік
varete	варьете
alúvi	аллювий
kórkech	көркеч
matrısa	матрица
ımıjmeıkıng	имиджмейкинг
ıaıqaldy	иайқалды
ıandasha	иандаша
balyqjoıǵy	балықжоиғы
asonans	ассонанс
bektashııa	бекташииа
báhásht	бәһәшт
ıaıylyb	йайылыб
taııaba	таййаба
dúnıadan	дүниадан
paralelogram	параллелограмм
nazalızasıa	назализация
germetızasıa	герметизация
eýrooblıgasıalar	еурооблигациялар
domısılıı	домицилий
ıashnatty	иашнатты
rıdıkúl	ридикюль
chekchek	чекчек
beıaqyl	бейақыл
jaz	джаз
komýnıkasıalyq	коммуникациялық
aqkúıe	ақкүие
shezloń	шезлонг
dúnıaǵa	дүниаға
ınformasıologıa	информациология
metamodel	метамодель
topyraqtyńekologıalyqfýnksıalary	топырақтыңэкологиялықфункциялары
ashysyn	ащысын
redýksıonızm	редукционизм
merkantıldik	меркантильдік
ıalńuq	иалңұқ
ashshytamyr	ащытамыр
sentımentalısti	сентименталисті
ıalǵandy	иалғанды
ıandaq	иандақ
parfúmerıalyq	парфюмериялық
hárqaısysy	һәрқайсысы
forpostar	форпостар
gıdroelektrstansy	гидроэлектрстансы
qýyrchaqny	қуырчақны
aıýanat	айуанат
pılástr	пилястр
flúorograf	флюорограф
stasıonarlyq	стационарлық
gabroıdter	габброидтер
ekvılıbrıs	эквилибрист
valútasyz	валютасыз
búrokratıasyzdandyrý	бюрократиясыздандыру
álpınarı	альпинарий
ortogonal	ортогональ
plasmassa	пластмасса
ısfahanı	исфаһани
akkýltýrasıa	аккультурация
fáls	фальц
fýtýrısik	футуристік
ıaǵutty	иағұтты
zarádtiń	зарядтың
shahııd	шаһйид
kombınasıalyq	комбинациялық
ınstıtýsıonaldyq	институционалдық
chara-para	чара-пара
dıalog	диалог
gorchıchnık	горчичник
shaharıar	шаһариар
artıkýlásıalanbaıtyn	артикуляцияланбайтын
mýmıfıkasıala	мумификацияла
vólttyq	вольттық
operasıasy	операциясы
kavaler	кавальер
materıalızmi	материализмі
olımpıada	олимпиада
kóchelerin	көчелерін
kapelalyq	капеллалық
modýl	модуль
shahmurǵan	шаһмұрған
kostúm-shalbarly	костюм-шалбарлы
asıgnasıa	ассигнация
koról	король
kastodıan	кастодиан
ıaılar	иайлар
mýfel	муфель
konsentrlený	концентрлену
ashyaǵar	ащыағар
asfált	асфальт
ernest	эрнест
epıtafıa	эпитафия
batıpelagıal	батипелагиаль
kaprıchchıo	каприччио
ekonomıkasy	экономикасы
aksent	акцент
mıýalan	миуалан
paraolımpıadalyq	параолимпиадалық
kompúterli	компьютерлі
shapchaq	шапчақ
ıashurunub	иашұрұнұб
mahııan	маһийан
moskvıch	москвич
mılıardtap	милиардтап
vatersizyq	ватерсьізық
ıazmas	иазмас
gastról	гастроль
zýhradaı	зуһрадай
asımetrıalyq	асимметриялық
evroposentrızm	европоцентризм
ShOB	ШОБ
chaqlyq	чақлық
flotasıalaý	флотациялау
ınsıdent	инцидент
baskúl	баскюль
ıastuq	иастұқ
ıdeogram	идеограмма
kontrıbýsıalyq	контрибуциялық
vanadıli	ванадийлі
valútalanǵan	валюталанған
festıvál	фестиваль
kúıreýiski	күйреуіцкі
chartıster	чартистер
kontrıbýsıa	контрибуция
karbosıkldi	карбоциклді
fúcherstik	фьючерстік
ınstansıanyń	инстанцияның
opsıon	опцион
kapıtalısik	капиталистік
valtrap	вальтрап
metılasetat	метилацетат
blok-charter	блок-чартер
geoekonomıkalyq	геоэкономикалық
mýltıtizim	мультитізім
aeroplan	аэроплан
sekvoııadendron	секвойядендрон
nagel	нагель
restıtýsıa	реституция
monsonıt	монцонит
chattaýyq	чаттауық
kálkalaý	калькалау
shpındel	шпиндель
hahlasaq	хаһласақ
rejıseri	режиссері
albedo	альбедо
shpıgel	шпигель
ashshy-tátti	ащы-тәтті
ıafyshǵu	иафышғұ
ınteroreseptorlar	интерорецепторлар
alúmınılený	алюминийлену
fýnksıalardy	функцияларды
bıoenergıa	биоэнергия
jýrnalısiń	журналистің
jıhangerlik	жиһангерлік
aforfe	афорфэ
chaǵyrlady	чағырлады
pechene	печенье
jahanı	жаһани
komýtator	коммутатор
karbúrasıa	карбюрация
chýrrıgeresko	чурригереско
sedalgın	седальгин
osılografıalyq	осциллографиялық
makromarketıń	макромаркетинг
ıntonasıalyq	интонациялық
medıator	медиатор
koefısıenti	коэффициенті
komýnıkasıa	коммуникация
metaloıd	металлоид
sesıa	цессия
álfa-ádis	альфа-әдіс
komısarlyq	комиссарлық
ıadzlytttdy	иадзлытттды
etologıa	этология
ekonomgeografıa	экономгеография
dıafılm	диафильм
transendentik	трансцендентік
ıazyqty	иазықты
ekzıstensıalızm	экзистенциализм
kognısıa	когниция
chamǵyr	чамғыр
selofan	целлофан
reıntegrasıa	реинтеграция
ratıfıkasıa	ратификация
effektisi	эффектісі
melodeklamasıa	мелодекламация
demarkasıalyq	демаркациялық
chańtas	чаңтас
ıapushtylar	иапұштылар
uchyrady	ұчырады
birnechesini	бірнечесіні
MShT	МШТ
okazıonal	окказионал
últramafelik	ультрамафелік
derıvasıalyq	деривациялық
demonstrasıa	демонстрация
kavalerısti	кавалеристі
nahandaı	наһандай
kópfýnksıaly	көпфункциялы
ıasyldy	иасылды
áýkedeı	әукедеи
kreasıonızm	креационизм
ýalaıatynda	уалайатында
dıfferensıalan	дифференциалан
aerodınamıka	аэродинамика
relef	рельеф
býkınıster	букинистер
gırlánda	гирлянда
optımısik	оптимистік
ıashsady	иашсады
gabroıdtený	габброидтену
hashıa	хашия
quqiq	құқьіқ
búrokrattyq	бюрократтық
as-salımııa	ас-салимийа
appelásıa	аппеляция
ahlap-úhleý	аһлап-үһлеу
asımılásıalaný	ассимиляциялану
nepshil	нэпшіл
germetızasıalaý	герметизациялау
dýali	дуальі
maltoza	мальтоза
moh-moh	моһ-моһ
ekskýrsıalyq	экскурсиялық
sıanashurym	сианашұрым
ınsolásıa	инсоляция
aksızdelet	акцизделет
ınvestısıalaý	инвестициялау
zınhar	зінһар
qarjy-eksporttyq	қаржы-экспорттық
pıadeleb	пиаделеб
ekzogamıa	экзогамия
ınfeksıasy	инфекциясы
polárlaný	полярлану
padshahy	падшаһы
shahyzada	шаһызада
ichishdi	ічішді
hımaıat	химайат
ekstremaldyq	экстремалдық
jaýhazyn	жауһазын
pedaldaý	педальдау
efırlik	эфирлік
avıasport	авиаспорт
áltımetr	альтиметр
cherdaýaı	чердауай
operasıalary	операциялары
kafel	кафель
tezovrasıa	тезоврация
velomobıl	веломобиль
tabynchy	табынчы
býlvar	бульвар
proletarıat	пролетариат
ál-jahılııa	әл-жахилийа
bálzamın	бальзамин
radıasıalyq	радиациялық
chylaýysh	чылауыш
seılon	цейлон
bijyrqaılan	бьіжырқайлан
ıýrısdıksıa	юрисдикция
folıkýl	фолликул
chybyrtqy	чыбыртқы
mıttelshpıl	миттельшпиль
dárhal	дәрһал
últramıkroskopıa	ультрамикроскопия
eksperımentt	экспериментт
asfahandy	асфаһанды
flokýlásıa	флокуляция
laktasıa	лактация
mıllenıým	миллениум
QazBShǴZI	ҚазБШҒЗИ
ıańshaq	иаңшақ
ash-iiiıa	аш-іііиа
avaldyq	авальдық
naýısande	науисанде
motofelúga	мотофелюга
prosentteý	проценттеу
paıgah	пайгаһ
avtomobıl	автомобиль
kástóm	кастюм
gýnahár	гунаһәр
gorızontaldy	горизонтальды
tersıa	терция
kóchúrdi	көчүрді
álekeı-chálekeı	әлекей-чәлекей
balııat	балийат
bınaýraldyq	бинауральдық
kvarsıt	кварцит
panıslamıstiń	панисламистің
sınoksal	синоксаль
shaharly	шаһарлы
qarsyny	қарцыны
qfsyǵý	қьфсығу
kýmýlátıvtik	кумулятивтік
aıýandaı	айуандай
gabro-porfırıt	габбро-порфирит
operasıalan	операциялан
ferografıa	феррография
avıakókjıek	авиакөкжиек
QShQQ	ҚШҚҚ
komýnıster	коммунистер
artılerıa	артиллерия
elementi	элементі
kalútron	калютрон
sıkimi	сцйкімі
dúbl	дубль
ekspresıvti	экспрессивті
avtokommýnıkasıa	автокоммуникация
vegetarıanshylyq	вегетарианшылық
morzıstiń	морзистің
mehmanhana	меһманхана
konúnktıvıt	конъюнктивит
zodıak	зодиак
abisyn	абьісын
glandýlosıt	гландулоцит
avıakassa	авиакасса
aýryqchań	аурықчаң
radıolokasıalyq	радиолокациялық
doıyrly	доиырлы
glúkoza	глюкоза
konkresıa	конкреция
korporasıalar	корпорациялар
keılik	кеилік
álpınıster	альпинистер
jaqin-jurt	жақьін-жұрт
mýjtahıd	мужтаһид
ıazsady	иазсады
bahadýr	баһадур
konstrýksıalyq	конструкциялық
